tahun,gk,provinsi,jenis,daerah,periode,tahun_kategori,cluster
2015.0,293697.0,ACEH,MAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,302128.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,306243.0,ACEH,MAKANAN,PERKOTAAN,MARET,2016-2017,2
2016.0,319768.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,297479.0,ACEH,MAKANAN,PERDESAAN,MARET,2015-2016,2
2015.0,306737.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,315697.0,ACEH,MAKANAN,PERDESAAN,MARET,2016-2017,2
2016.0,324854.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,296406.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,305428.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,312801.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,323548.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,330153.0,ACEH,MAKANAN,PERKOTAAN,MARET,2017-2018,2
2017.0,347811.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,351777.0,ACEH,MAKANAN,PERKOTAAN,MARET,2018-2019,2
2018.0,360318.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,2
2017.0,331267.0,ACEH,MAKANAN,PERDESAAN,MARET,2017-2018,2
2017.0,346070.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,353915.0,ACEH,MAKANAN,PERDESAAN,MARET,2018-2019,2
2018.0,362463.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2018-2019,2
2017.0,330958.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,346552.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,353291.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,2
2018.0,361835.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,2
2019.0,364040.0,ACEH,MAKANAN,PERKOTAAN,MARET,2019-2020,0
2019.0,377620.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,398026.0,ACEH,MAKANAN,PERKOTAAN,MARET,2020-2021,0
2020.0,399504.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,372626.0,ACEH,MAKANAN,PERDESAAN,MARET,2019-2020,0
2019.0,387367.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,396615.0,ACEH,MAKANAN,PERDESAAN,MARET,2020-2021,0
2020.0,397816.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,370093.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,384381.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,397032.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,398316.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,418047.0,ACEH,MAKANAN,PERKOTAAN,MARET,2021-2022,0
2021.0,426126.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,448528.0,ACEH,MAKANAN,PERKOTAAN,MARET,,0
2022.0,481276.0,ACEH,MAKANAN,PERKOTAAN,SEPTEMBER,,0
2021.0,406917.0,ACEH,MAKANAN,PERDESAAN,MARET,2021-2022,0
2021.0,414738.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,434104.0,ACEH,MAKANAN,PERDESAAN,MARET,,0
2022.0,462138.0,ACEH,MAKANAN,PERDESAAN,SEPTEMBER,,0
2021.0,410420.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,418296.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,438658.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,MARET,,0
2022.0,468255.0,ACEH,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,116717.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,118196.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,121727.00000000003,ACEH,NONMAKANAN,PERKOTAAN,MARET,2016-2017,1
2016.0,125719.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,1
2015.0,84638.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2015-2016,1
2015.0,87681.99999999997,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2015-2016,1
2016.0,88288.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2016-2017,1
2016.0,90972.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2016-2017,1
2015.0,93744.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,1
